GISJOIN,STATEFP,COUNTYFP,TRACTCE,pov_fam_5_17,nonpov_fam_5_17,tot_fam_5_17,Percent_Pov_Fam5_17
G3600070000500,36,7,500,71,80,151,0.47019866
G3600070000600,36,7,600,86,175,261,0.32950193
G3600070000700,36,7,700,117,194,311,0.3762058
G3600070000900,36,7,900,64,78,142,0.45070422
G3600070001100,36,7,1100,82,48,130,0.63076925
G3600070001200,36,7,1200,0,5,5,0
G3600070001300,36,7,1300,60,66,126,0.47619048
G3600070001400,36,7,1400,60,169,229,0.26200873
G3600070001500,36,7,1500,12,372,384,0.03125
G3600070001600,36,7,1600,14,99,113,0.1238938
G3600070001700,36,7,1700,130,168,298,0.4362416
G3600070001800,36,7,1800,174,142,316,0.55063289
G3600070010200,36,7,10200,46,412,458,0.10043668
G3600070011901,36,7,11901,49,221,270,0.18148148
G3600070011902,36,7,11902,47,231,278,0.16906475
G3600070011903,36,7,11903,32,240,272,0.11764706
G3600070012000,36,7,12000,38,112,150,0.25333333
G3600070012101,36,7,12101,107,306,413,0.2590799
G3600070012102,36,7,12102,8,392,400,0.02
G3600070012103,36,7,12103,8,221,229,0.034934498
G3600070012201,36,7,12201,30,176,206,0.14563107
G3600070012202,36,7,12202,90,228,318,0.28301886
G3600070012300,36,7,12300,156,327,483,0.32298136
G3600070012400,36,7,12400,33,194,227,0.14537445
G3600070012500,36,7,12500,50,556,606,0.082508251
G3600070012600,36,7,12600,35,463,498,0.070281126
G3600070012701,36,7,12701,99,504,603,0.1641791
G3600070012702,36,7,12702,30,459,489,0.061349694
G3600070012800,36,7,12800,153,328,481,0.31808731
G3600070012900,36,7,12900,0,83,83,0
G3600070013000,36,7,13000,23,354,377,0.061007958
G3600070013100,36,7,13100,78,305,383,0.20365535
G3600070013201,36,7,13201,23,202,225,0.10222222
G3600070013202,36,7,13202,26,227,253,0.1027668
G3600070013301,36,7,13301,23,382,405,0.056790125
G3600070013303,36,7,13303,16,222,238,0.067226894
G3600070013304,36,7,13304,11,540,551,0.019963702
G3600070013400,36,7,13400,118,339,457,0.25820568
G3600070013500,36,7,13500,72,86,158,0.4556962
G3600070013600,36,7,13600,110,182,292,0.37671232
G3600070013700,36,7,13700,72,180,252,0.2857143
G3600070013800,36,7,13800,0,293,293,0
G3600070013900,36,7,13900,46,130,176,0.26136363
G3600070014000,36,7,14000,46,139,185,0.24864864
G3600070014100,36,7,14100,63,244,307,0.20521173
G3600070014200,36,7,14200,0,185,185,0
G3600070014301,36,7,14301,130,297,427,0.30444965
G3600070014302,36,7,14302,20,175,195,0.1025641
G3600070014400,36,7,14400,14,324,338,0.041420117
G3600070014500,36,7,14500,0,381,381,0
G3600070014600,36,7,14600,47,489,536,0.087686568
G3600090940000,36,9,940000,30,19,49,0.6122449
G3600090940200,36,9,940200,0,0,0,-99
G3600090940300,36,9,940300,216,449,665,0.32481202
G3600090960100,36,9,960100,74,262,336,0.22023809
G3600090960200,36,9,960200,26,349,375,0.06933333
G3600090960300,36,9,960300,16,379,395,0.040506329
G3600090960400,36,9,960400,106,280,386,0.27461141
G3600090960500,36,9,960500,140,400,540,0.25925925
G3600090960600,36,9,960600,80,230,310,0.25806451
G3600090960702,36,9,960702,47,162,209,0.22488038
G3600090960800,36,9,960800,66,392,458,0.14410481
G3600090961000,36,9,961000,124,358,482,0.25726143
G3600090961100,36,9,961100,54,286,340,0.15882353
G3600090961200,36,9,961200,56,271,327,0.17125382
G3600090961300,36,9,961300,73,279,352,0.20738636
G3600090961400,36,9,961400,82,342,424,0.19339623
G3600090961500,36,9,961500,37,131,168,0.22023809
G3600090961600,36,9,961600,36,300,336,0.10714286
G3600090961700,36,9,961700,294,117,411,0.71532845
